NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
"Devin Booker, SG",PHX,78,35,1.28,-2.58,-1.3,40
"Nemanja Bjelica, PF",MIN,65,18.3,-0.71,1.94,1.23,30
"Rudy Gay, SF",SAC,30,33.8,-0.21,1.96,1.75,47
"Jerian Grant, PG",CHI,63,16.3,0.5,1.07,1.57,7
"Dirk Nowitzki, PF",DAL,54,26.4,-0.38,0.64,0.26,54
"Deron Williams, PG",CLE/DAL,64,25.9,0.69,-0.91,-0.22,50
"Nerlens Noel, PF",DAL/PHI,51,20.5,-1.33,2.58,1.25,35
"Andrew Wiggins, SG",MIN,82,37.2,1.56,-3.16,-1.6,13
"Evan Fournier, SG",ORL,68,32.9,0.07,-1.17,-1.1,3
"Justin Holiday, SG",NY,82,20,-0.58,0.25,-0.33,58
"T.J. McConnell, PG",PHI,81,26.3,-1.32,0.23,-1.09,52
"Kyle Anderson, SF",SA,72,14.2,-1.81,3.11,1.3,33
"Clint Capela, C",HOU,65,23.9,-1.47,1.12,-0.35,9
"Jason Terry, SG",MIL,74,18.4,-0.41,0.61,0.2,7
"David West, PF",GS,68,12.6,-1.47,3.54,2.07,28
"Dion Waiters, SG",MIA,46,30.1,0.12,-0.07,0.05,2
"Kosta Koufos, C",SAC,71,20,-2.78,2.83,0.05,33
"Jon Leuer, PF",DET,75,25.9,-1.43,0.58,-0.85,36
"Luol Deng, SF",LAL,56,26.5,-1.87,1.54,-0.33,5
"Wilson Chandler, SF",DEN,71,30.9,0.3,-1.54,-1.24,48
"Garrett Temple, SG",SAC,65,26.6,-0.14,-0.46,-0.6,51
"Ty Lawson, PG",SAC,69,25.1,0.49,-1.21,-0.72,30
"Aron Baynes, C",DET,75,15.5,-2.45,2.93,0.48,29
"Jabari Parker, PF",MIL,51,33.9,0.83,-1.61,-0.78,26
"Joe Johnson, SF",UTAH,78,23.6,0.79,-1.56,-0.77,37
"Devin Harris, PG",DAL,65,16.7,0.38,0.32,0.7,10
"Dwyane Wade, SG",CHI,60,29.9,-0.45,-0.46,-0.91,30
"Luke Babbitt, SF",MIA,68,15.7,-0.64,1.24,0.6,45
"James Ennis III, SF",MEM,64,23.5,-1.13,1.4,0.27,50
"Joel Embiid, C",PHI,31,25.4,-0.57,2.27,1.7,1
"Khris Middleton, SG",MIL,29,30.7,0.14,1.26,1.4,59
"Iman Shumpert, SG",CLE,76,25.5,-0.98,-0.16,-1.14,16
"Robin Lopez, C",CHI,81,28,-2.07,0.63,-1.44,18
"Kent Bazemore, SF",ATL,73,26.9,-0.69,-0.5,-1.19,19
"Enes Kanter, C",OKC,72,21.3,0.56,-1.24,-0.68,46
"Willy Hernangomez, C",NY,72,18.4,-0.75,0.4,-0.35,50
"Kyle O'Quinn, C",NY,79,15.6,-1.28,1.16,-0.12,48
"Dante Cunningham, PF",NO,66,25,-0.37,-0.56,-0.93,11
"Spencer Dinwiddie, PG",BKN,59,22.6,-0.8,0.31,-0.49,36
"Rodney Hood, SG",UTAH,59,27,-0.26,-0.51,-0.77,22
"Salah Mejri, C",DAL,73,12.4,-2.71,3.66,0.95,19
"Jeremy Lin, PG",BKN,36,24.5,0.48,-0.03,0.45,40
"Will Barton, SG",DEN,60,28.4,0.05,-1.2,-1.15,48
"Marco Belinelli, SG",CHA,74,24,0.67,-1.87,-1.2,40
"Brandon Jennings, PG",NY/WSH,81,22.2,0.25,-1.5,-1.25,20
"Mike Muscala, PF",ATL,70,17.7,-0.02,-0.36,-0.38,20
"Matt Barnes, SF",GS/SAC,74,24,-1.18,-0.09,-1.27,50
"JaVale McGee, C",GS,77,9.6,0.83,0.11,0.94,23
"Rodney McGruder, SG",MIA,78,25.2,-0.58,-0.9,-1.48,1
"Richaun Holmes, PF",PHI,57,20.9,-0.32,-0.18,-0.5,15
"Corey Brewer, SG",HOU/LAL,82,15.6,-1.75,1,-0.75,25
"Jonathon Simmons, SG",SA,78,17.8,-2.03,1.12,-0.91,40
"Anthony Tolliver, PF",SAC,65,22.7,-0.07,-0.97,-1.04,35
"Jamal Murray, G",DEN,82,21.5,0.06,-1.57,-1.51,48
"Zach Randolph, PF",MEM,73,24.5,-0.37,-1.05,-1.42,7
"Julius Randle, PF",LAL,74,28.8,-0.79,-1.03,-1.82,34
"Tarik Black, C",LAL,67,16.3,-2.5,1.96,-0.54,54
"Jason Smith, PF",WSH,74,14.4,-1.08,0.54,-0.54,18
"Alan Williams, PF",PHX,47,15.1,-0.94,1.49,0.55,7
"Dario Saric, SF",PHI,81,26.3,-1.25,-0.62,-1.87,44
"Derrick Favors, PF",UTAH,50,23.7,-2.76,2.06,-0.7,43
"Willie Cauley-Stein, C",SAC,75,18.9,-2.07,0.9,-1.17,5
"D'Angelo Russell, PG",LAL,63,28.7,0.75,-2.45,-1.7,11
"Terry Rozier, PG",BOS,74,17.1,-1.05,-0.01,-1.06,16
"Davis Bertans, SF",SA,67,12.1,0.07,-0.01,0.06,44
"Sam Dekker, SF",HOU,77,18.4,0.05,-1.42,-1.37,51
"Jonas Jerebko, PF",BOS,78,15.8,-0.89,-0.14,-1.03,53
"Norman Powell, SG",TOR,76,18,-0.24,-1.01,-1.25,13
"Austin Rivers, PG",LAC,74,27.8,-0.17,-1.73,-1.9,19
"Dwight Powell, PF",DAL,77,17.3,-0.66,-0.51,-1.17,28
"Josh Richardson, SG",MIA,53,30.5,-1.63,0.06,-1.57,17
"Matthew Dellavedova, PG",MIL,76,26.1,-0.88,-1.01,-1.89,42
"Caris LeVert, SG",BKN,57,21.7,-0.46,-0.84,-1.3,4
"Richard Jefferson, SF",CLE,79,20.4,-1.16,-0.48,-1.64,30
"Rajon Rondo, PG",CHI,69,26.7,-1.35,-0.49,-1.84,28
"E'Twaun Moore, SG",NO,73,24.9,-0.24,-1.58,-1.82,3
"Montrezl Harrell, PF",HOU,58,18.3,-0.39,-0.6,-0.99,46
"Meyers Leonard, PF",POR,74,16.5,-1.5,0.26,-1.24,45
"Langston Galloway, SG",NO/SAC,74,20.2,0.1,-1.65,-1.55,26
"Ian Mahinmi, C",WSH,31,17.9,-2.22,3.11,0.89,16
"Tony Parker, PG",SA,63,25.2,-0.69,-0.97,-1.66,33
"Tyus Jones, PG",MIN,60,12.9,0.11,-0.34,-0.23,41
"Andrew Harrison, PG",MEM,72,20.5,-1.2,-0.38,-1.58,43
"JR Smith, SG",CLE,41,29,-0.32,-0.98,-1.3,45
"TJ Warren, SF",PHX,66,31,0.3,-2.44,-2.14,45
"Joakim Noah, C",NY,46,22.1,-2.23,1.17,-1.06,59
"Jeremy Lamb, SG",CHA,62,18.4,0.04,-1.32,-1.28,20
"Willie Reed, PF",MIA,71,14.5,-2.42,1.25,-1.17,47
"Cristiano Felicio, PF",CHI,66,15.8,-1.55,0.39,-1.16,56
"Kenneth Faried, PF",DEN,61,21.2,-0.07,-1.55,-1.62,50
"Roy Hibbert, C",DEN/CHA,48,14.2,-2.48,2.08,-0.4,30
"Andrew Bogut, C",CLE/DAL,27,21.6,-4.01,4.34,0.33,6
"Taurean Prince, SF",ATL,59,16.6,-3.7,2.47,-1.23,26
"Derrick Rose, PG",NY,64,32.5,0.11,-2.36,-2.25,2
"Mirza Teletovic, PF",MIL,70,16.2,-1.05,-0.44,-1.49,24
"Domantas Sabonis, PF",OKC,81,20.1,-3.9,1.86,-2.04,14
"Avery Bradley, PG",BOS,55,33.4,-0.44,-1.72,-2.16,2
"Timothe Luwawu-Cabarrot, SG",PHI,69,17.2,-2.27,0.57,-1.7,16
"Glenn Robinson III, SG",IND,69,20.7,-1.25,-0.67,-1.92,56
"Dennis Schroder, PG",ATL,79,31.5,0.31,-2.76,-2.45,54
"John Henson, PF",MIL,58,19.4,-3.42,1.79,-1.63,1
"Cole Aldrich, C",MIN,62,8.6,-1.82,1.83,0.01,51
"Wesley Johnson, SF",LAC,68,11.9,-3.79,2.62,-1.17,51
"Darrell Arthur, PF",DEN,41,15.6,-0.91,0.2,-0.71,27
"Al Jefferson, C",IND,66,14.1,-1,-0.45,-1.45,11
"Beno Udrih, PG",DET,39,14.4,-0.39,0.13,-0.26,26
"Tomas Satoransky, SG",WSH,57,12.6,-2.1,1.08,-1.02,4
"Raymond Felton, PG",LAC,80,21.3,-1.4,-0.88,-2.28,44
"Dorian Finney-Smith, F",DAL,81,20.3,-1.92,-0.3,-2.22,36
"Juan Hernangomez, PF",DEN,62,13.6,-0.85,-0.69,-1.54,54
"Cory Joseph, PG",TOR,80,25,-0.5,-1.94,-2.44,5
"Justin Hamilton, C",BKN,64,18.4,-1.64,-0.42,-2.06,39
"Terrence Jones, PF",NO/MIL,54,23.5,-1.38,-0.72,-2.1,32
"Boban Marjanovic, C",DET,35,8.4,-0.24,1.66,1.42,31
"Derrick Jones Jr., SF",PHX,32,17,-1.06,0.18,-0.88,16
"Tyreke Evans, SG",NO/SAC,40,19.7,-1.52,0.02,-1.5,22
"Sean Kilpatrick, SG",BKN,70,25.1,-0.07,-2.36,-2.43,55
"Alex Len, C",PHX,77,20.3,-3.62,1.28,-2.34,43
"J.J. Barea, PG",DAL,35,22,0.15,-1.57,-1.42,15
"Reggie Bullock, SF",DET,31,15.1,-0.98,0.57,-0.41,26
"Nik Stauskas, SG",PHI,80,27.4,-0.32,-2.25,-2.57,52
"Michael Carter-Williams, PG",CHI,45,18.8,-2.82,1.12,-1.7,35
"Delon Wright, PG",TOR,27,16.5,-1.28,0.98,-0.3,32
"Troy Daniels, SG",MEM,67,17.7,-0.02,-2.1,-2.12,23
"Jakob Poeltl, C",TOR,54,11.6,-2.36,1.09,-1.27,48
"Mindaugas Kuzminskas, F",NY,68,14.9,-0.8,-1.2,-2,31
"Brandan Wright, PF",MEM,28,16,-0.86,0.4,-0.46,3
"Kelly Oubre Jr., SF",WSH,79,20.3,-1.67,-0.76,-2.43,20
"Jodie Meeks, SG",ORL,36,20.5,-0.05,-1.6,-1.65,47
"Tim Frazier, PG",NO,65,23.5,-0.73,-1.67,-2.4,18
"Thon Maker, PF",MIL,57,9.9,-1.23,0.17,-1.06,48
"Alex Abrines, SG",OKC,68,15.5,0.13,-2.25,-2.12,49
"Allen Crabbe, SG",POR,79,28.5,0.22,-2.87,-2.65,38
"Omer Asik, C",NO,31,15.5,-2.97,1.94,-1.03,35
"Denzel Valentine, SG",CHI,57,17.1,-2.21,0.13,-2.08,38
"Bismack Biyombo, C",ORL,81,22.1,-3.33,0.77,-2.56,45
"Stanley Johnson, SF",DET,77,17.8,-2.34,-0.04,-2.38,37
"Kevon Looney, SF",GS,53,8.4,-2.03,1.05,-0.98,32
"Luis Scola, PF",BKN,36,12.8,-0.8,-0.29,-1.09,40
"Alexis Ajinca, C",NO,39,15,-3.17,1.64,-1.53,8
"Jeff Withey, C",UTAH,51,8.5,-1.5,0.57,-0.93,11
"Kris Humphries, PF",ATL,56,12.3,-2.3,0.41,-1.89,3
"Raul Neto, PG",UTAH,40,8.7,-1.43,0.92,-0.51,17
"Shabazz Napier, PG",POR,53,9.7,-0.12,-1.39,-1.51,18
"Mike Dunleavy, SG",ATL/CLE,53,15.9,-2.26,0.05,-2.21,46
"Tyler Ennis, PG",HOU/LAL,53,11.1,-1.36,-0.51,-1.87,19
"Michael Beasley, SF",MIL,56,16.7,-1.7,-0.61,-2.31,3
"Shawn Long, PF",PHI,18,13,-0.31,0.3,-0.01,40
"David Nwaba, PG",LAL,20,19.9,-1.89,0.59,-1.3,38
"Anthony Morrow, SG",CHI/OKC,49,14.6,-0.66,-1.46,-2.12,25
"Skal Labissiere, F",SAC,33,18.5,-1.93,-0.04,-1.97,43
"Bobby Portis, PF",CHI,64,15.6,-1.94,-0.5,-2.44,11
"Kyle Korver, SG",ATL/CLE,67,26.2,-0.15,-2.61,-2.76,34
"Paul Pierce, SF",LAC,25,11.1,-2.04,1.24,-0.8,8
"Joffrey Lauvergne, C",CHI/OKC,70,14,-1.22,-1.27,-2.49,37
"Yogi Ferrell, PG",DAL/BKN,46,26,-0.99,-1.21,-2.2,17
"Jordan Crawford, SG",NO,19,23.3,0.82,-2.48,-1.66,33
"Hollis Thompson, SF",NO/PHI,40,18.8,-0.82,-1.23,-2.05,21
"DeAndre Liggins, SG",CLE/DAL,62,12.5,-3.13,0.76,-2.37,38
"Sergio Rodriguez, PG",PHI,68,22.3,-0.66,-2.11,-2.77,59
"Shaun Livingston, PG",GS,76,17.7,-2.55,-0.19,-2.74,3
"James Michael McAdoo, SF",GS,52,8.8,-3.15,1.07,-2.08,22
"KJ McDaniels, SG",HOU/BKN,49,10.3,-1.54,-0.68,-2.22,48
"Trey Lyles, PF",UTAH,71,16.3,-2.48,-0.23,-2.71,3
"Thomas Robinson, PF",LAL,48,11.7,-1.68,-0.66,-2.34,27
"Tyler Zeller, C",BOS,51,10.3,-2.5,0.2,-2.3,49
"Okaro White, PF",MIA,35,13.5,-2.13,-0.03,-2.16,16
"Fred VanVleet, PG",TOR,37,7.9,-2.44,0.83,-1.61,22
"Sasha Vujacic, SG",NY,42,9.7,-2.35,0.26,-2.09,5
"Evan Turner, SG",POR,65,25.5,-3.04,0.15,-2.89,8
"Shelvin Mack, PG",UTAH,55,21.9,-1.51,-1.28,-2.79,12
"Miles Plumlee, C",MIL/CHA,45,10.8,-2.79,0.52,-2.27,1
"Dante Exum, PG",UTAH,66,18.6,-2.14,-0.65,-2.79,13
"Adreian Payne, PF",MIN,18,7.5,-1.69,1.36,-0.33,17
"James Jones, SG",CLE,48,7.9,-0.91,-1.27,-2.18,20
"Rodney Stuckey, PG",IND,39,17.8,-1.66,-0.91,-2.57,20
"Omri Casspi, SF",NO/MIN/SAC,36,17.9,-2.35,0.05,-2.3,9
"Marshall Plumlee, C",NY,21,8.1,-1.75,0.65,-1.1,15
"Monta Ellis, SG",IND,74,27,-1.32,-1.64,-2.96,17
"Pat Connaughton, SG",POR,39,8.1,-1.28,-0.79,-2.07,2
"Chris Andersen, PF",CLE,12,9.5,-1.4,1.02,-0.38,7
"Chasson Randle, PG",NY/PHI,26,11.5,-0.74,-1.36,-2.1,8
"Rakeem Christmas, PF",IND,29,7.6,-2.2,0.5,-1.7,3
"Kyle Singler, SF",OKC,32,12,-3.25,0.9,-2.35,3
"Anthony Bennett, PF",BKN,23,11.5,-0.76,-1.29,-2.05,11
"Malcolm Delaney, G",ATL,73,17.1,-2.64,-0.25,-2.89,2
"Malik Beasley, SG",DEN,22,7.5,-1.74,0.21,-1.53,14
"Nick Collison, PF",OKC,20,6.4,-2.18,1.12,-1.06,12
"Brandon Bass, PF",LAC,52,11.1,-1.06,-1.59,-2.65,20
"Joel Anthony, C",SA,19,6.4,-2.41,1.44,-0.97,6
"Ian Clark, SG",GS,77,14.8,-1.08,-1.82,-2.9,2
"Zach LaVine, PG",MIN,47,37.2,-0.62,-2.35,-2.97,16
"Mike Miller, SG",DEN,20,7.6,-1.93,0.35,-1.58,1
"AJ Hammons, C",DAL,22,7.4,-2.77,1.27,-1.5,12
"Sheldon Mac, SG",WSH,30,9.6,-2.25,-0.08,-2.33,3
"James Young, SG",BOS,29,7.6,-1.88,-0.28,-2.16,6
"Gerald Green, SF",BOS,47,11.4,-1.27,-1.47,-2.74,18
"Christian Wood, PF",CHA,13,8.2,-2.06,0.97,-1.09,17
"Jose Calderon, PG",ATL/LAL,41,13.1,-2.4,-0.36,-2.76,18
"Metta World Peace, SF",LAL,25,6.4,-2.61,0.53,-2.08,8
"Treveon Graham, SG",CHA,27,7,-2.19,0.02,-2.17,6
"Noah Vonleh, PF",POR,74,17.1,-4.02,1.03,-2.99,10
"Anderson Varejao, C",GS,14,6.6,-1.74,0.65,-1.09,19
"Jared Sullinger, C",TOR,11,10.7,-2.7,0.9,-1.8,8
"Henry Ellenson, F",DET,19,7.7,-2.32,0.38,-1.94,15
"Udonis Haslem, PF",MIA,16,8.1,-2.79,0.73,-2.06,7
"Tiago Splitter, C",PHI,8,9.5,-1.97,0.69,-1.28,8
"Chris McCullough, PF",BKN/WSH,16,5,-1.58,0.18,-1.4,9
"Malachi Richardson, SG",SAC,22,9,-2.29,-0.14,-2.43,3
"Leandro Barbosa, SG",PHX,67,14.4,-1.5,-1.5,-3,19
"Alonzo Gee, SF",DEN,13,6.8,-2.11,0.43,-1.68,17
"Ryan Kelly, PF",ATL,16,6.9,-1.94,1.45,-0.49,1
"Anthony Brown, SF",NO/ORL,11,14.5,-1.42,-0.34,-1.76,8
"Johnny O'Bryant III, PF",DEN/CHA,11,7.3,-1.92,0.3,-1.62,19
"Georgios Papagiannis, C",SAC,22,16.1,-2.47,-0.3,-2.77,18
"Joel Bolomboy, PF",UTAH,12,4.4,-1.95,1.03,-0.92,13
"Alex Poythress, SF",PHI,6,26.2,-1.91,-0.47,-2.38,1
"Maurice Ndour, SF",NY,32,10.3,-1.94,-0.37,-2.31,18
"Damian Jones, F",GS,10,8.5,-2.58,0.8,-1.78,5
"Dejounte Murray, G",SA,38,8.5,-1.97,-0.83,-2.8,10
"Spencer Hawes, PF",MIL/CHA,54,14.8,-2.13,-0.87,-3,16
"Josh McRoberts, PF",MIA,22,17.3,-2.87,-0.01,-2.88,5
"Jordan Hill, C",MIN,7,6.7,-2.31,1.16,-1.15,7
"Mike Scott, PF",ATL,18,10.8,-2.92,0.26,-2.66,8
"Jarell Eddie, SG",PHX,5,12.4,-2.31,0.62,-1.69,3
